Id,Chapter,Part,Hebrew,English
adj-2zr5ys19xwoe,0,Adjective,מְאֹד,might; intensifier
adj-xclviuln5xvr,2,Adjective,קָדוֹשׁ,holy
adj-42hxeifnp0ef,2,Adjective,חָדָשׁ,new
adj-mtpakxbpldz6,2,Adjective,חָכָם,wise
adj-658ytyjsr357,2,Adjective,צַדִּיק,righteous
adj-1jtod02g03dk,6,Adjective,חַטָּא,sinful
adj-z8zq8on6u6wz,7,Adjective,גָּדוֹל,"great, big, large"
adj-hz73fdt8pkhp,7,Adjective,זָקֵן,"old, elder"
adj-1bqho41lm9nq,7,Adjective,חָזָק,"strong, powerful"
adj-wpbhhgk049u3,7,Adjective,חַי,"alive, living (animal)"
adj-3ehjdu5zoces,7,Adjective,טוֹב,"good, beautiful"
adj-bfomaj11kqyi,7,Adjective,יָפֶה,"handsome, beautiful"
adj-vhyasaierfvj,7,Adjective,יָקָר,"precious, valuable, rare"
adj-rvs0cmstzgcw,7,Adjective,יָשָׁר,"straight, just, upright"
adj-ykp280mjjilb,7,Adjective,כָּבֵד,"heavy, severe, important"
adj-glwfepikfwg1,7,Adjective,קָטֹן,"small, insignificant"
adj-0nfungqxllcc,7,Adjective,רַב,"many, much, abundant, mighty"
adj-v1at7t9mumkg,7,Adjective,רַע,"bad, evil, ugly"
adj-sq6v264coo34,7,Adjective,רָעֵה,hungry
adj-brey9w0djcyu,7,Adjective,רָשָׁע,"wicked, criminal"
adj-vtxmin8qgruw,7,Adjective,אַחֵר,"another, other"
adj-q7rd2zr5ys19,10,Adjective,זֶה,this (masc sing)
adj-xwoexclviuln,10,Adjective,זֹאת,this (fem sing)
adj-5xvr42hxeifn,10,Adjective,אֵ֫לֶּה,these
adj-p0efmtpakxbp,11,Adjective,כֹּל,"all, each, every, the whole"
adj-ldz6658ytyjs,11,Adjective,מִכֹּל,most of all
adj-r3571jtod02g,13,Adjective,אֶבְיוֹן,"poor, needy"
adj-03dkz8zq8on6,13,Adjective,עָנִי,"afflicted, humble"
adj-u6wzhz73fdt8,13,Adjective,מָשִׁיחַ,anointed
adj-pkhp1bqho41l,17,Adjective,רָחוֹק,far
adj-m9nqwpbhhgk0,17,Adjective,רַק,thin
adj-49u33ehjdu5z,17,Adjective,מְעַט,"little, few"
adj-ocesbfomaj11,18,Adjective,עָצוּם,"mighty, numerous"
adj-kqyivhyasaie,19,Adjective,קָרוֹב,near
adj-rfvjrvs0cmst,21,Adjective,עָשִׁיר,rich
adj-zgcwykp280mj,21,Adjective,טָהוֹר,"clean, pure"
adj-jilbglwfepik,22,Adjective,זָר,"strange, foreign"
adj-fwg10nfungqx,24,Adjective,אֶחָד,"one (masc), first"
adj-llccv1at7t9m,24,Adjective,אַחַת,"one (fem), first"
adj-umkgsq6v264c,24,Adjective,שֵׁנִי,second
adj-oo34brey9w0d,24,Adjective,שְׁלִישִׁי,third
adj-jcyuvtxmin8q,24,Adjective,רְבִיעִי,fourth
adj-gruwq7rd2zr5,24,Adjective,חֲמִישִׁי,fifth
adj-ys19xwoexclv,24,Adjective,שִׁשִּׁי,sixth
adj-iuln5xvr42hx,24,Adjective,שְׁבִיעִי,seventh
adj-eifnp0efmtpa,24,Adjective,שְׁמִינִי,eighth
adj-kxbpldz6658y,24,Adjective,תְּשִׁיעִי,ninth
adj-tyjsr3571jto,24,Adjective,עֲשִׁירִי,tenth
adj-d02g03dkz8zq,24,Adjective,קַנָּה,jealous
adj-8on6u6wzhz73,27,Adjective,שָׂבֵעַ,"full, satisfied"
adj-fdt8pkhp1bqh,28,Adjective,תָּם,"complete, blameless"
adj-o41lm9nqwpbh,28,Adjective,תָּמִים,"complete, blameless"
adj-hgk049u33ehj,29,Adjective,נָקִיא,innocent
adv-urjyrlu1ppg7,5,Adverb,יוֹמָם,"daily, by day"
adv-q5eobndgyqok,6,Adverb,אַ֫חַר כֵּן,afterward
adv-wuap6a8gis78,6,Adverb,אַחֲרֵי כֵן,afterward
adv-fli2dq4hd6sy,10,Adverb,בַּמַּה־◌ּ,how?
adv-zy1rmrclkvy0,10,Adverb,כַּמַּה־◌ּ,"how many?, how much?"
adv-ubmh6tv9tw6d,10,Adverb,לָ֫מָּה,why?
adv-r1si1hgzmypr,10,Adverb,עַד־מָה,how long?
adv-9szv86m1icai,10,Adverb,עַל־מָה,why?
adv-t4jagxtesftx,10,Adverb,אֵיךְ,how? (interrogative adverb of manner)
adv-2vhnomq6bg1a,10,Adverb,אֵי,where? (interrogative adverb of place)
adv-9knpj0b6viky,10,Adverb,מֵאַ֫יִן,from where?
adv-ilusgp77qw5o,10,Adverb,לְבַד,alone
adv-2n4gygokxl1q,10,Adverb,עַתָּה,now
adv-x1y6ityz5mi3,10,Adverb,גַּם,"also, although"
adv-4qv8e6spposh,10,Adverb,מַדּוּעַ,why?
adv-mr2lkwpql2m7,10,Adverb,עוֹד,"still, yet, again, else"
adv-6tl0tnw3srij,10,Adverb,פֹּה,here
adv-17gzdzfs0sqm,10,Adverb,שָׁם,there
adv-zwc18daiuu9a,11,Adverb,אָז,"then, at that time"
adv-hxk4f26jpi40,13,Adverb,אָן,where?
adv-103totewmx02,13,Adverb,כֹּה,"thus, here"
adv-wdyj85xb4y8f,14,Adverb,אַךְ,"however, surely, indeed"
adv-33uk3jr1o0ru,14,Adverb,אַף,"also, even, indeed"
adv-b31xa8o3kolt,14,Adverb,רַק,only
adv-v6lmszvgr4iv,15,Adverb,כֵּן,"so, thus, therefore, accordinly"
adv-rk5ccbe4z4py,16,Adverb,הַרְבֵּה,abundantly
adv-y9bd8pzuj78n,17,Adverb,יַחְדָּו,together
adv-69jq5e5wfutd,17,Adverb,לָכֵן,therefore
adv-0c25n5d9ljze,17,Adverb,עוֹד מְעַט,soon
adv-vqnv7hwnua7r,17,Adverb,כִּמְעַט,almost
adv-sftx2vhnomq6,17,Adverb,תָּמִיד,"always, constantly"
adv-bg1a9knpj0b6,18,Adverb,טֶ֫רֶם,"not yet, before"
adv-vikyilusgp77,27,Adverb,מָתַי,when?
adv-qw5o2n4gygok,28,Adverb,אוּלַי,perhaps
adv-xl1qx1y6ityz,30,Adverb,בַּל,not
adv-5mi34qv8e6sp,30,Adverb,בְּלִי,without
nou-1yq4yr18wwne,0,Noun,יוֹסֵף,Joseph
nou-xclviukn5xvr,0,Noun,לֵוִי,Levi
nou-31hwdhfnpzef,0,Noun,שָׁאוּל,Saul
nou-msp9kxbokdz5,0,Noun,יִצְחָק,Isaac
nou-648xtyjsr257,0,Noun,שְׁלֹמֹה,Solomon
nou-1itod02g03ck,0,Noun,שֹׁמְרֹן,Samaria
nou-y7zp8nn6t5wy,0,Noun,כֶּ֫רֶם,vineyard
nou-gy62fds8pjgo,0,Noun,נֶ֫גֶב,"the dry country, south, Negev"
nou-0bphn40lm8mq,2,Noun,חָכְמָה,wisdom
nou-woahhgjz49u3,2,Noun,אֲדָמָה,"ground, land, soil"
nou-2egicu4zobdr,2,Noun,דָּבָר,"word, thing, affair, matter"
nou-7ajh5ewwfltd,2,Noun,עוֹלָם,"eternity, perpetuity"
nou-rct5n5d9maqe,2,Noun,אָדָם,"human, humanity, people, person, Adam"
nou-mqnv7hnoub7r,2,Noun,בְּרִית,"covenant, treaty, alliance"
nou-tfkx3vheedh6,2,Noun,גּוֹי,nation
nou-bgra9kdfarbw,2,Noun,דַּ֫עַת,knowledge
nou-viapiclsgg77,2,Noun,זָהָב,gold
nou-qw5o2o4hphfb,2,Noun,חֹ֫דֶשׁ,"new moon, month"
nou-nl1qx1z7jjyz,2,Noun,כֹּהֵן,priest
nou-6m9t4rv8e7tp,2,Noun,כֶּ֫סֶף,"silver, money"
nou-qosidi3lbmpr,2,Noun,מֶ֫לֶךְ,king
nou-l2m8xum0tnx4,2,Noun,מַמְלָכָה,kingdom
nou-ssj9s8gqdpgi,2,Noun,מַלְכוּת,"kingship, reign"
nou-0sqmzxds9dai,2,Noun,נָבִיא,prophet
nou-kv9ahok5fs6k,2,Noun,עֶ֫בֶד,"servant, slave"
nou-g8u1103toten,2,Noun,עֲבוֹדָה,"service, work"
nou-ny02weoj8wxb,2,Noun,צֶ֫דֶק,righteousness
nou-vy8fu3ul3ji2,2,Noun,צְדָקָה,righteousness
nou-p1rucu2ya8o3,2,Noun,קֹ֫דֶשׁ,"holiness, sanctuary"
nou-kfckw6lcjzwg,2,Noun,קוֹל,"voice, sound, thundering"
nou-h4imrk6ccbfv,3,Noun,אֶ֫רֶץ,"land, earth, country (fem)"
nou-z4pyy9ce8p0u,3,Noun,דָּם,blood
nou-j79n7ajh5eww,3,Noun,דֶּ֫רֶךְ,"way, road (masc or fem)"
nou-fltdrct5n5d9,3,Noun,חֶ֫רֶב,sword (fem)
nou-maqemqnv7hno,3,Noun,יָד,"hand, power (fem)"
nou-ub7rtfkx3vhe,3,Noun,לֵב,"heart, mind (masc)"
nou-edh6bgra9kdf,3,Noun,לֵבָב,"heart, mind (masc)"
nou-arbwviapicls,3,Noun,מַ֫יִם,water
nou-gg77qw5o2o4h,3,Noun,מִשְׁפָּט,"judgment, justice, right, custom"
nou-phfbnl1qx1z7,3,Noun,שֹׁפֵט,judge
nou-jjyz6m9t4rv8,3,Noun,נֶ֫פֶשׁ,"self, life, breath, will, person, ""soul"" (fem)"
nou-e7tpqosidi3l,3,Noun,עַ֫יִן,"eye, spring (fem)"
nou-bmprl2m8xum0,3,Noun,פֶּה,mouth
nou-tnx4ssj9s8gq,3,Noun,פָּנִים,"face, presence"
nou-dpgi0sqmzxds,3,Noun,רֶ֫גֶל,foot
nou-9daikv9ahok5,3,Noun,שָׁמַ֫יִם,"heaven, sky"
nou-fs6kg8u1103t,3,Noun,אֹ֫זֶן,ear (fem)
nou-otenny02weoj,3,Noun,אֵל,"god, God, El"
nou-8wxbvy8fu3ul,3,Noun,אֱלֹהִים,"God, gods"
nou-3ji2p1rucu2y,3,Noun,אֵם,mother (fem)
nou-a8o3kfckw6lc,4,Noun,חֶ֫סֶד,"devotion, loyaloty, faithfulness, proper act"
nou-jzwgh4imrk6c,4,Noun,אֶ֫בֶן,stone (fem)
nou-cbfvz4pyy9ce,4,Noun,אָדוֹן,"lord, master, sir"
nou-8p0uj79n7ajh,4,Noun,אֲדוֹנִים,"lord[s], master[s], sir"
nou-5ewwfltdrct5,4,Noun,אוֹר,light
nou-n5d9maqemqnv,4,Noun,אַ֫יִל,ram
nou-7hnoub7rtfkx,4,Noun,אֱנוֹשׁ,"humanity, a human"
nou-3vheedh6bgra,4,Noun,הֵיכָל,"palace, temple"
nou-9kdfarbwviap,4,Noun,חַ֫יִל,"valour, power, army, wealth"
nou-iclsgg77qw5o,4,Noun,חֹ֫שֶׁךְ,darkness
nou-2o4hphfbnl1q,4,Noun,לֶ֫חֶם,"bread, food"
nou-x1z7jjyz6m9t,4,Noun,מַלְאָךְ,"messenger, angel"
nou-4rv8e7tpqosi,4,Noun,מִלְחָמָה,"battle, war"
nou-di3lbmprl2m8,4,Noun,מָקוֹם,place (masc)
nou-xum0tnx4ssj9,4,Noun,סוּס,horse
nou-s8gqdpgi0sqm,4,Noun,עָוֺן,"guilt, iniquity (masc)"
nou-zxds9daikv9a,4,Noun,עוֹלָה,whole (burnt) offering
nou-hok5fs6kg8u1,4,Noun,פְּרִי,fruit
nou-103totenny02,4,Noun,רוּחַ,"spirit, wind, breath (fem)"
nou-weoj8wxbvy8f,5,Noun,רֹאשׁ,"head, top, chief"
nou-u3ul3ji2p1ru,5,Noun,רֵאשִׁית,"first, beginning"
nou-cu2ya8o3kfck,5,Noun,אָב,father
nou-w6lcjzwgh4im,5,Noun,אֹ֫הֶל,tent
nou-rk6ccbfvz4py,5,Noun,אָח,brother
nou-y9ce8p0uj79n,5,Noun,אָחוֹת,sister
nou-u1yit6kxtm8e,5,Noun,אִישׁ,"man, male, husband"
nou-edh627s10beg,5,Noun,אִשָּׁה,"woman, female, wife (fem)"
nou-ar2xm9bp9clt,5,Noun,בַּ֫יִת,house
nou-7g8yhwwf2e47,5,Noun,בֵּן,"son, grandson"
nou-p7fbom1hyspx,5,Noun,בַּת,daughter
nou-9jyqwd9tvhvz,5,Noun,הַר,mountain
nou-5xjpqps8di3c,5,Noun,יוֹם,day
nou-bnprl3d8xkm0,5,Noun,יָם,sea
nou-knxuis99sy7q,5,Noun,כְּלִי,"vessel, instrument, weapon"
nou-4q6j1jrmzn3s,5,Noun,מַעֲשֶׂה,deed
nou-z319lv018ok5,5,Noun,עִיר,city (fem)
nou-6txag9vrsruk,5,Noun,עַם,people
nou-ot5nnyrtn4oa,5,Noun,שַׂר,"commander, ruler, prince"
nou-8wo2vpz6uull,5,Noun,רִאשׁוֹן,"the first, former"
nou-4ai2f1iu2uso,6,Noun,אֲרוֹן,"ark of the covenant, chest"
nou-1zf3bfckwxcd,6,Noun,חַטָּאת,"sin, sin offering"
nou-jzm7i48mrk63,6,Noun,יהוה,YHWH
nou-325vqvgzp024,6,Noun,לַ֫יְלָה,night (masc)
nou-yg0la7zd70ah,6,Noun,הַלַּ֫יְלָה,"the night, tonight"
nou-55wn6lu4r3tw,6,Noun,הַיּוֹם,"the day, today"
nou-e640caq5mqow,6,Noun,דָּוִד,David
nou-y8nou1yit6kx,6,Noun,יְהוּדָה,Judah
nou-tm8eedh627s1,6,Noun,יְרוּשָׁלַ֫םִ,Jerusalem
nou-0begar2xm9bp,6,Noun,יִשְׂרָאֵל,Israel
nou-9clt7g8yhwwf,6,Noun,מֹשֶׁה,Moses
nou-2e47p7fbom1h,6,Noun,מִצְרַ֫יִם,Egypt
nou-yspx9jyqwd9t,7,Noun,חַיִּים,life
nou-vhvz5xjpqps8,7,Noun,יֹשֶׁר,"uprightness, straightness"
nou-di3cbnprl3d8,7,Noun,יְשָׁרָה,uprightness
nou-xkm0knxuis99,7,Noun,רֹב,abundance
nou-sy7q4q6j1jrm,7,Noun,רָעָה,"disaster, harm"
nou-zn3sz319lv01,7,Noun,רָעָב,"famine, hunger"
nou-8ok56txag9vr,7,Noun,אַבְרָהָם,Abraham
nou-srukot5nnyrt,7,Noun,יַעֲקֹב,Jacob
nou-n4oa8wo2vpz6,7,Noun,כָּבוֹד,"glory, honour"
nou-uull4ai2f1iu,8,Noun,אֲהָבָה,love
nou-2uso1zf3bfck,8,Noun,אֹ֫כֶל,food
nou-wxcdjzm7i48m,8,Noun,אָכְלָה,food
nou-rk63325vqvgz,8,Noun,יֶ֫לֶד,"boy, child"
nou-p024yg0la7zd,8,Noun,מַטֶּה,"branch, tribe, staff (masc)"
nou-70ah55wn6lu4,8,Noun,מַרְאֶה,"sight, appearance"
nou-r3twe640caq5,9,Noun,הוּא,"he, it, that"
nou-mqowy8nou1yi,9,Noun,הִיא,"she, it, that"
nou-t6kxtm8eedh6,9,Noun,אַתָּה,you (masc sing subject)
nou-27s10begar2x,9,Noun,אַתְּ,you (fem sing subject)
nou-m9bp9clt7g8y,9,Noun,אֲנִי,I
nou-hwwf2e47p7fb,9,Noun,הֵם,"they, those (masc)"
nou-om1hyspx9jyq,9,Noun,הֵ֫נָּה,"they, those (fem)"
nou-wd9tvhvz5xjp,9,Noun,אַתֶּם,you (masc plural subject)
nou-qps8di3cbnpr,9,Noun,אַתֶּן,you (fem plural subject)
nou-l3d8xkm0knxu,9,Noun,אֲנַ֫חְנוּ,we
nou-is99sy7q4q6j,9,Noun,אֹתוֹ,"him, it"
nou-1jrmzn3sz319,9,Noun,אֹתָהּ,"her, it"
nou-lv018ok56txa,9,Noun,אֹתְךָ,you (masc sing object)
nou-g9vrsrukot5n,9,Noun,אֹתָךְ,you (fem sing object)
nou-nyrtn4oa8wo2,9,Noun,אֹתִי,me
nou-vpz6uull4ai2,9,Noun,אֶתְהֶם,them (masc)
nou-f1iu2uso1zf3,9,Noun,אֶתְהֶן,them (fem)
nou-bfckwxcdjzm7,9,Noun,אֶתְכֶּם,you (masc plural object)
nou-i48mrk63325v,9,Noun,אֹתָ֫נוּ,us
nou-qvgzp024yg0l,9,Noun,מִזְבֵּחַ,altar (masc)
nou-a7zd70ah55wn,9,Noun,זֶ֫בַח,sacrifice
nou-6lu4r3twe640,9,Noun,אֵשׁ,fire (fem)
nou-caq5mqowy8no,9,Noun,גִּבּוֹר,"hero, warrior"
nou-gjsqen55ou2m,9,Noun,גְּבוּרָה,"strength, might"
nou-0l2ewemivjzn,9,Noun,דּוֹר,"generation (masc sing, fem plural)"
nou-vzw4gqwx3kg0,9,Noun,זֶ֫רַע,seed
nou-2ot6c4qnnmqf,9,Noun,מִדְבָּר,"desert, wilderness, wasteland"
nou-kp0jitmoj0k5,9,Noun,נָהָר,"river (masc sing, masc or fem plural)"
nou-4rjyrlu1ppgg,9,Noun,עֵץ,"tree, wood"
nou-z5exbxdqyqok,9,Noun,פַּרְעֹה,Pharaoh (king of Egypt)
nou-wuaz6a8gss78,9,Noun,שָׂדֶה,"field, country (masc)"
nou-fvi2d04hng2y,9,Noun,שֵׁם,name (masc)
nou-zx1rmrcukvy0,9,Noun,שָׁנָה,year (fem)
nou-ubvh63v92w6d,9,Noun,אֵלִיָּה,Elijah
nou-11si1hpzmypr,9,Noun,דָנִיֵּאל,Daniel
nou-91zv86m1imjr,9,Noun,רִבְקָה,Rebecca
nou-t4ijqxteo1ft,10,Noun,מִי,who? (personal interrogative pronoun)
nou-ph3aa9c2x2nw,10,Noun,מַה־◌ּ,what? (impersonal interrogative pronoun)
nou-w79b5nxsh56k,10,Noun,אוֹת,"sign, mark (masc sing and fem plural)"
nou-47ho3c3ucsrb,10,Noun,בַּד,solitude
nou-ya03l3b7jhxc,10,Noun,כִּסֵּא,"throne, chair (masc)"
nou-tolt5fuls85p,10,Noun,נַ֫עַר,lad
nou-qdrv0tfllko4,10,Noun,עֵת,"time, season"
nou-8dy77ilnhy93,10,Noun,שָׁלוֹם,"peace, well-being, wholeness"
nou-sgiwgjsqen55,10,Noun,שֶׁ֫מֶשׁ,sun (fem)
nou-ou2m0l2ewemi,10,Noun,תּוֹרָה,"instruction, law"
nou-vjznvzw4gqwx,11,Noun,יָרֵךְ,thigh
nou-3kg02ot6c4qn,11,Noun,כָּתֵף,shoulder
nou-nmqfkp0jitmo,11,Noun,בֶּ֫גֶד,garment
nou-j0k54rjyrlu1,11,Noun,בָּקָר,large cattle
nou-ppggz5exbxdq,11,Noun,בֹּ֫קֶר,morning
nou-yqokwuaz6a8g,11,Noun,חוֹמָה,wall
nou-ss78fvi2d04h,11,Noun,חוּץ,"street, outside (masc)"
nou-ng2yzx1rmrcu,11,Noun,יַ֫יִן,wine
nou-kvy0ubvh63v9,11,Noun,כָּנָף,"wing, skirt (fem)"
nou-2w6d11si1hpz,11,Noun,כְּרוּב,cherub
nou-mypr91zv86m1,11,Noun,מָ֫וֶת,death
nou-imjrt4ijqxte,11,Noun,מָטָר,rain
nou-o1ftph3aa9c2,11,Noun,מְלָאכָה,"mission, work"
nou-x2nww79b5nxs,11,Noun,נְאֻם,oracle
nou-h56k47ho3c3u,11,Noun,סֵ֫פֶר,"book, scroll, letter"
nou-csrbya03l3b7,11,Noun,עֵדָה,"council, counsel"
nou-jhxctolt5ful,11,Noun,עָפָר,dust
nou-s85pqdrv0tfl,11,Noun,צֹאן,"small cattle, flock, sheep and goats"
nou-lko48dy77iln,11,Noun,צָבָא,"host, army (both genders)"
nou-hy93sgiwgjsq,11,Noun,תָּ֫וֶךְ,midst
nou-en55ou2m0l2e,12,Noun,מִשְׁפָּחָה,family
nou-wemivjznvzw4,12,Noun,אַף,"nose, face, anger"
nou-gqwx3kg02ot6,12,Noun,חֵמָה,"heat, rage"
nou-c4qnnmqfkp0j,12,Noun,חֲצִי,"half, middle"
nou-itmoj0k54rjy,12,Noun,חָצֵר,court (masc)
nou-rlu1ppggz5ex,12,Noun,חֹק,statute
nou-bxdqyqokwuaz,12,Noun,חֻקָּה,statute
nou-6a8gss78fvi2,12,Noun,כֹּחַ,"strength, power"
nou-d04hng2yzx1r,12,Noun,מִגְדָּל,tower
nou-mrcukvy0ubvh,12,Noun,מִנְחָה,"gift, offering"
nou-63v92w6d11si,12,Noun,מִצְוָה,commandment
nou-1hpzmypr91zv,12,Noun,נֵ֫דֶר,vow
nou-86m1imjrt4ij,12,Noun,נֶ֫דֶר,vow
nou-qxteo1ftph3a,12,Noun,נַחֲלָה,inheritance
nou-a9c2x2nww79b,12,Noun,עֹז,strength
nou-5nxsh56k47ho,12,Noun,עַז,strong
nou-3c3ucsrbya03,12,Noun,עָנָן,cloud
nou-l3b7jhxctolt,12,Noun,רֵעַ,friend
nou-5fuls85pqdrv,12,Noun,רֵעֶה,"friend, companion"
